"MERDSSG100"	"MERDSSG103"	"MERDSSG109"	"MERDSSG10"	"MERDSSG112"	"MERDSSG115"	"MERDSSG118"	"MERDSSG124"	"MERDSSG127"	"MERDSSG130"	"MERDSSG133"	"MERDSSG139"	"MERDSSG142"	"MERDSSG145"	"MERDSSG148"	"MERDSSG14"	"MERDSSG154"	"MERDSSG157"	"MERDSSG160"	"MERDSSG163"	"MERDSSG169"	"MERDSSG172"	"MERDSSG175"	"MERDSSG178"	"MERDSSG20"	"MERDSSG23"	"MERDSSG25"	"MERDSSG30"	"MERDSSG37"	"MERDSSG39"	"MERDSSG42"	"MERDSSG44"	"MERDSSG49"	"MERDSSG4"	"MERDSSG52"	"MERDSSG55"	"MERDSSG58"	"MERDSSG64"	"MERDSSG67"	"MERDSSG6"	"MERDSSG72"	"MERDSSG73"	"MERDSSG79"	"MERDSSG84"	"MERDSSG85"	"MERDSSG89"	"MERDSSG94"	"MERDSSG97"	"MERDSSGB2"	"MERDSSGB3"	"MERDSSGB4"	"MERDSSGB5"	"MERDSSGZ2"	"MERDSSGZ3"	"MERDSSGZ4"	"MERDSSGZ5"
"OTU26"	0	3	37	11	12	16	6	1	0	0	0	46	85	10	19	4	79	27	12	30	0	12	0	0	22	9	0	6	0	0	0	0	17	15	39	18	9	72	22	5	0	3	6	0	0	0	4	28	258	73	10	60	56	211	44	24
"OTU61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	31	0	0	0	0	0	0	0	0	2	1	2	1	0	5	0	1
"OTU3176"	0	0	0	7	1	2	0	0	0	0	0	10	0	4	1	2	4	0	4	4	0	0	0	0	2	0	0	0	0	0	0	0	1	1	2	0	2	0	2	0	9	1	0	0	0	0	0	0	6	3	6	13	13	2	14	26
"OTU229"	13	26	23	33	14	35	28	1	0	0	0	42	50	21	36	37	14	8	30	39	0	0	0	0	16	11	15	22	0	1	0	0	14	20	34	17	23	11	1	24	5	15	0	0	0	0	11	11	62	52	68	79	37	65	54	111
"OTU58"	4	2	8	1	6	5	5	0	0	0	0	1	8	2	3	4	1	4	3	2	0	1	0	0	9	0	10	3	0	0	0	0	2	1	1	3	0	3	0	17	2	1	0	2	0	0	0	3	9	3	5	4	1	28	1	4
"OTU4414"	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	2	0	0
"OTU424"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	11	0	0
"OTU1894"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU403"	11	15	22	25	0	18	9	0	0	0	0	23	16	5	11	23	8	5	7	14	0	0	0	0	20	5	2	19	0	0	0	0	6	21	4	4	15	11	9	4	9	10	0	0	0	0	10	3	30	13	6	34	1	6	10	5
"OTU837"	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	2	0	3	1	1	1	0
"OTU20"	3	3	12	15	9	4	2	0	0	0	0	12	31	1	0	2	21	4	1	3	0	0	0	0	21	0	0	1	0	0	0	0	2	0	6	1	5	12	3	8	0	5	0	0	0	0	4	2	20	40	6	8	16	79	16	4
"OTU19609"	0	2	11	1	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	6	1	1	1	0	0	7	0	0	0	0	0	0	0	2	18	4	0	3	8	29	0	0
"OTU13064"	0	0	1	0	8	0	0	0	0	0	0	0	15	0	0	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	12	3	0	0	0	0	0	0	0	0	2	19	11	0	0	3	28	0	0
"OTU55"	16	31	42	48	41	64	34	0	0	0	0	35	37	13	19	36	15	10	38	28	0	0	0	0	42	19	9	39	0	0	0	0	18	50	21	10	21	22	5	9	5	8	0	0	0	0	22	34	50	33	78	36	26	77	55	54
"OTU28"	26	23	22	58	25	53	25	1	0	0	0	53	58	9	14	12	19	17	28	16	0	0	0	0	18	15	13	24	0	0	0	0	30	25	34	49	5	26	15	22	2	13	0	0	0	0	8	39	132	100	20	73	26	49	56	12
"OTU26908"	0	7	0	0	2	13	6	0	0	0	0	5	3	0	10	18	0	0	4	11	0	0	0	0	0	4	0	10	0	0	0	0	5	5	3	6	15	0	0	0	5	11	0	0	0	0	2	2	1	0	9	7	0	0	0	20
"OTU1780"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
"OTU15228"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	1	0
"OTU49"	39	53	41	108	62	119	72	0	2	0	0	107	75	40	41	34	46	38	97	69	0	0	0	0	56	35	16	76	0	0	0	1	49	65	74	58	46	66	17	37	26	31	0	0	0	0	39	29	97	116	71	100	97	103	112	79
"OTU617"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"OTU19813"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"OTU267"	3	12	13	12	4	15	3	1	0	0	0	6	36	3	0	9	5	8	8	4	0	0	0	0	11	3	0	8	0	0	0	0	28	13	22	15	1	14	22	20	5	4	0	0	0	0	6	10	50	30	7	20	7	52	25	6
"OTU2238"	0	0	0	4	5	5	3	0	0	0	0	10	3	0	0	0	0	0	3	4	0	0	0	0	0	0	3	6	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	6	5	0	1	6	3	4
"OTU105"	9	8	2	33	9	12	5	1	0	0	0	32	29	2	12	2	5	25	13	9	0	0	0	0	20	0	2	12	0	0	0	0	8	15	15	1	9	28	2	21	2	13	0	0	0	0	3	6	46	46	23	43	51	166	61	44
"OTU4"	2259	750	1226	314	3404	533	1249	252	427	0	0	386	359	1456	1273	2166	504	1699	1077	1442	65	85	20	38	4434	6119	4178	1978	212	1043	6	273	402	732	469	1993	484	751	1177	2840	924	586	39	73	470	433	4877	3927	9	14	30	33	27	75	26	35
"OTU634"	0	0	0	4	0	0	0	0	0	0	0	1	6	0	4	0	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	6	0	0	4	2	0	0	2	0	0	0	0	0	0	35	18	3	13	19	14	11	11
"OTU13342"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU358"	2	13	3	4	8	3	4	0	0	0	0	17	1	1	5	1	3	16	8	2	0	0	0	15	0	7	3	1	0	0	0	0	4	0	2	6	11	4	3	3	5	4	0	0	0	0	18	0	14	19	18	8	17	26	25	11
"OTU180"	19	6	22	48	35	32	10	0	0	0	0	52	45	10	10	3	27	17	13	29	0	0	0	0	42	44	2	13	0	0	0	0	15	24	36	24	10	42	15	36	1	21	0	0	0	0	16	34	38	19	11	18	30	59	46	12
"OTU16381"	2	0	5	0	0	7	2	0	0	0	0	6	4	0	0	0	11	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	3	11	9	0	0	7	0	4	0	12	0	0	0	0	0	4	12	4	9	13	0	15	16	11
"OTU1718"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	1	3	14	0	1
"OTU51"	45	8	40	38	21	95	31	4	0	0	0	17	29	17	7	23	15	9	22	20	0	0	0	0	49	19	4	13	0	1	0	0	20	17	16	27	8	41	7	35	13	11	0	0	0	0	23	17	80	73	113	84	81	108	144	62
"OTU599"	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0
"OTU129"	4	2	9	17	8	7	0	0	0	0	0	3	2	2	0	7	17	1	18	1	0	0	0	0	11	16	2	1	0	0	0	0	2	5	2	3	0	12	2	9	1	0	0	0	0	0	4	11	42	27	29	9	7	28	24	5
"OTU482"	3	0	0	5	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3
"OTU22"	74	19	37	86	40	51	28	67	42	155	28	46	37	8	20	53	58	20	10	32	82	35	189	9	165	38	3	27	206	51	1	136	31	67	53	25	31	90	16	64	6	4	80	98	120	61	24	40	136	35	60	67	82	162	81	75
"OTU563"	0	0	7	7	0	2	2	0	0	0	0	0	0	0	8	2	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	3	2	0	0	0	4	0	0	0	0	0	0	0	0	0	2	3	0	2	4	1	8
"OTU3230"	5	0	0	16	0	3	3	0	0	0	0	27	4	8	4	4	0	1	3	15	0	0	0	0	2	1	0	2	0	0	0	0	8	3	39	15	10	10	0	19	2	5	0	0	0	0	2	2	16	11	9	16	13	10	20	21
