date,Plant_Number,potweight_g,notes,observer,date_raw
7_1,82,181.5,,NEED,7/1/2018
7_1,83,181,,NEED,7/1/2018
7_1,84,176.5,,NEED,7/1/2018
7_1,85,184,,NEED,7/1/2018
7_1,86,187,,NEED,7/1/2018
7_1,87,183,,NEED,7/1/2018
7_1,88,150,,NEED,7/1/2018
7_1,89,183.5,,NEED,7/1/2018
7_1,90,210,,NEED,7/1/2018
7_1,91,151,,NEED,7/1/2018
7_1,92,162,,NEED,7/1/2018
7_1,93,162,,NEED,7/1/2018
7_1,94,153.5,,NEED,7/1/2018
7_1,95,156,,NEED,7/1/2018
7_1,96,177,,NEED,7/1/2018
7_1,97,169.5,,NEED,7/1/2018
7_1,98,179.5,,NEED,7/1/2018
7_1,99,157.5,,NEED,7/1/2018
7_1,100,172.5,,NEED,7/1/2018
7_1,101,184,,NEED,7/1/2018
7_1,102,179.5,,NEED,7/1/2018
7_1,103,147.5,,NEED,7/1/2018
7_1,104,191.5,,NEED,7/1/2018
7_1,105,136.5,,NEED,7/1/2018
7_1,106,153,,NEED,7/1/2018
7_1,107,130.5,,NEED,7/1/2018
7_1,108,173.5,,NEED,7/1/2018
7_1,109,173,,NEED,7/1/2018
7_1,110,174,,NEED,7/1/2018
7_1,111,171.5,,NEED,7/1/2018
7_1,112,172.5,,NEED,7/1/2018
7_1,113,174,,NEED,7/1/2018
7_1,114,169,,NEED,7/1/2018
7_1,115,181,,NEED,7/1/2018
7_1,116,153.5,,NEED,7/1/2018
7_1,117,174.5,,NEED,7/1/2018
7_1,118,137.5,,NEED,7/1/2018
7_1,119,174.5,,NEED,7/1/2018
7_1,120,150,,NEED,7/1/2018
7_1,121,176.5,,NEED,7/1/2018
7_1,122,167,,NEED,7/1/2018
7_1,123,163,,NEED,7/1/2018
7_1,124,163,,NEED,7/1/2018
