"","OTU","av_Rhizosphere","av_Bulk","pval","tax","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"1061",0.0003453125,8.5,1.75,0.005,"OTU136","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Frankiales","f:Nakamurellaceae","g:Nakamurella","UNKNOWN",1
"1148",0.0001140625,2.625,0.5,0.011,"OTU626","k:Bacteria","p:Actinobacteria","c:Acidimicrobiia","o:Acidimicrobiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"1150",0.000165625,3.5,0.25,0.007,"OTU1272","k:Bacteria","p:Planctomycetes","c:Phycisphaerae","o:WD2101_soil_group","UNKNOWN","UNKNOWN","UNKNOWN",1
"1167",0.0006046875,17,8.625,0.039,"OTU27679","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Hyphomicrobiaceae","g:Pedomicrobium","UNKNOWN",1
"1187",0.0002140625,4.5,0.5,0.008,"OTU211","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Micrococcales","f:Cellulomonadaceae","g:Cellulomonas","UNKNOWN",1
"1209",0.000453125,14,6.125,0.023,"OTU248","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Frankiales","f:Geodermatophilaceae","g:Blastococcus","UNKNOWN",1
"1212",0.000115625,3,1.125,0.023,"OTU4473","k:Bacteria","p:Actinobacteria","c:Acidimicrobiia","o:Acidimicrobiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"1221",0.0004828125,14.125,5,0.007,"OTU1064","k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Gaiellales","f:Gaiellaceae","g:Gaiella","UNKNOWN",1
"1223",7.1875e-05,1.5,0.125,0.015,"OTU1057","k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:Haliangiaceae","g:Haliangium","UNKNOWN",1
"1261",0.0002171875,6.25,2.75,0.04,"OTU278","k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:480-2","UNKNOWN","UNKNOWN",1
"1280",0.000259375,6.5,2.125,0.039,"OTU4612","k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Gaiellales","UNKNOWN","UNKNOWN","UNKNOWN",1
"1295",0.0018640625,0.625,37.75,0.003,"OTU12","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Burkholderiales","f:Burkholderiaceae","g:Cupriavidus","UNKNOWN",1
"1300",0.0001046875,2.375,0.375,0.007,"OTU2731","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"1444",0.000190625,4.875,1.625,0.037,"OTU1056","k:Bacteria","p:Chloroflexi","c:KD4-96","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"1463",0.0003640625,10,3.625,0.007,"OTU173","k:Bacteria","p:Actinobacteria","c:MB-A2-108","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"1464",0.0003546875,9,2.875,0.047,"OTU290","k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Flavitalea","UNKNOWN",1
"1468",2e-04,0.25,4.125,0.018,"OTU15034","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Propionibacteriales","f:Nocardioidaceae","UNKNOWN","UNKNOWN",1
"1471",0.0001828125,3.875,0.375,0.011,"OTU291","k:Bacteria","p:Actinobacteria","c:MB-A2-108","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"1485",0.0003078125,7.5,2.5,0.023,"OTU473","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_25","UNKNOWN","UNKNOWN","UNKNOWN",1
"1498",0.0002234375,6.875,2.875,0.018,"OTU468","k:Bacteria","p:Nitrospirae","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"1550",0.0002765625,6.25,1.625,0.037,"OTU1803","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"1562",0.000328125,10.75,5.25,0.023,"OTU374","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:TRA3-20","UNKNOWN","UNKNOWN","UNKNOWN",1
"1580",0.000115625,2.375,0.125,0.007,"OTU1115","k:Bacteria","p:Verrucomicrobia","c:OPB35_soil_group","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"1601",0.000125,2.5,0,0.008,"OTU15601","k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","g:Gemmatimonas","UNKNOWN",1
"1616",0.000440625,9.375,4.75,0.048,"OTU393","k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Gaiellales","UNKNOWN","UNKNOWN","UNKNOWN",1
