Feature ID	Taxon	Confidence
OTU110	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.99999955507887
OTU111	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__OLB17 sp001464455	0.8726788478277686
OTU112	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	0.999809708677589
OTU113	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.999990920227924
OTU114	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	0.9000062458162026
OTU115	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Cnuella;s__Cnuella takakiae	0.9999951645053171
OTU116	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__UBA7656;g__QHVH01;s__QHVH01 sp003222245	0.9999999993949018
OTU117	d__Bacteria;p__Binatota;c__Binatia;o__UBA9968;f__UBA9968;g__2-12-FULL-60-19;s__2-12-FULL-60-19 sp001798595	0.9981770288857126
OTU118	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	0.9918010287274657
OTU119	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__Dormibacter;s__Dormibacter sp003244185	0.939823230255611
OTU120	d__Bacteria	0.9999995419409351
OTU121	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA56;s__Gp6-AA56 sp003222395	0.9999652474168333
OTU122	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium	0.7858866448288715
OTU123	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198	0.9999999997166763
OTU124	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0.999727856966136
OTU125	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__SWB02;s__SWB02 sp001464425	0.9651183418192656
OTU126	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__PALSA-505;s__PALSA-505 sp003168255	0.8452267680127467
OTU128	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.8183995146656743
OTU129	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA112;g__Gp1-AA112;s__Gp1-AA112 sp003225175	0.7887504097124809
OTU130	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.9996289411463273
OTU131	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__Flavihumibacter solisilvae	0.7303529708975635
OTU132	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.938634536522298
OTU133	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__Gp7-AA6;g__Gp7-AA6;s__Gp7-AA6 sp003222385	0.9999482542583804
OTU134	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UTBCD1;s__UTBCD1 sp002066995	0.9774414087383474
OTU135	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.9997927277733548
OTU136	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella	0.9942953968414109
OTU137	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__UBA6038 sp002307725	0.7634159333529592
OTU138	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.9976663831000397
OTU139	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium subterraneum	0.745129791757978
OTU140	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga	0.9997035679350574
OTU141	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__SZUA-115;s__SZUA-115 sp003231035	0.9633934940179777
OTU142	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae	0.999991425397089
OTU143	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__20CM-4-69-9;f__20CM-4-69-9;g__Palsa-739	0.994197707678196
OTU144	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__ELB16-189 sp001567185	0.7351452220047603
OTU145	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767	0.7835123158374645
OTU146	d__Bacteria	0.9982678547487711
OTU147	d__Bacteria;p__Myxococcota;c__Polyangia	0.9929291632227907
OTU148	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium	0.995563715679935
OTU150	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp900110395	0.8044712092099919
OTU151	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	0.999983722366627
OTU152	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__Xiphinematobacter;s__Xiphinematobacter sp001318295	0.9766773910893108
OTU153	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA112;g__Gp1-AA112;s__Gp1-AA112 sp003225175	0.8621530006188503
OTU154	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum	0.7259887551411586
OTU155	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.9999998006264553
OTU156	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV69;s__AV69 sp003221405	0.9449599203131513
OTU157	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	0.99999968142105
OTU158	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Ktedonobacter;s__Ktedonobacter racemifer	0.9914602068877881
OTU159	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Z2-YC6860;s__Z2-YC6860 sp001579845	0.7558467639622142
